title,author,publisherName,itemCaption,ISBN,salesDate,itemPrice,size,booksGenreId,reviewCount,reviewAverage
現場で使える！Python機械学習入門 機械学習アルゴリズムの理論と実践,大曽根 圭輔/関 喜史,翔泳社,本書は、機械学習の基本と実践手法について解説した書籍です。機械学習の開発環境の準備、実際の現場での利用方法、そしてブラックボックス化しがちな理論部分もしっかりフォローしています。データ集計・整形と組み合わせた機械学習モデルの利用方法も解説しています。対象読者は人工知能関連の開発に携わる開発者、研究者。本書は、第１章では、機械学習を行う上で必要となる環境構築と機械学習に必要なＰｙｔｈｏｎの基本について解説しています。第２章では、教師あり学習と教師なし学習についてサンプルをもとに解説します。第３章では、教師あり学習と教師なし学習に関連する機械学習モデルについて解説しています。主要な機械学習モデルの理論を数式と絡めて説明し、その理論をもとにしたＰｙｔｈｏｎにおけるコーディング手法を説明しています。第４章では、データの集計、整形方法と実際の機械学習モデルへの利用方法について解説しています。,9784798150963,2019年05月24日頃,3520,単行本,001005017,0,0.0
Pythonクックブック第2版,アレックス・マーテリ/アンナ・マーテリ・レベンスクロフト,オライリー・ジャパン,この本は、Ｐｙｔｈｏｎそのものを教えようとする本ではなく、特定のタスクに対応するための特定の概念やテクニックを（ときにトリックも）示したものである。収録したレシピは、初歩的で一般性の高いタスクから、高度、あるいは専門的なタスクまで、最上のテクニックを示している。あなたのＰｙｔｈｏｎレベル、もっと一般的に言えばプログラミングスキルが、どの程度のものであるにせよ、この本から何らかの価値あるものを得ていただけると信じるものである。-Ｐｙｔｈｏｎコミュニティの英知を集めた実践的なコードを収録。Ｐｙｔｈｏｎを使いこなすための決定版。,9784873112763,2007年06月,4620,単行本,001005017,5,4.0
Pythonではじめる数学の冒険,Peter Farrell/鈴木幸敏,オライリー・ジャパン,数学を８年間、コンピュータサイエンスを３年間教えたことのある著者が、自らの経験に基づき、これからの時代に必要な数学とプログラミングの能力を身につけてもらいたいと筆をとった意欲作。定義や命題から入る伝統的なアプローチではなく、プログラミングによる視覚的アプローチで直感的な理解を促します。数学の視点からプログラミングを眺め、また逆にプログラミングの視点から数学を眺めることで、退屈な計算問題は、さまざまな工夫が可能なプログラミングの課題になり、プログラミングの文法は、数学の問題を解く上での強力な武器となり、それぞれの新たな魅力に気づかされるきっかけとなります。代数、幾何学、三角関数などの高校レベルの数学を使った数多くの例題を盛り込み、実際にＰｒｏｃｅｓｓｉｎｇでＰｙｔｈｏｎプログラムを動かしながら、ＡＩ時代に求められる数学の能力を磨いていきます。,9784873119304,2020年11月16日頃,3300,単行本,001012002,0,0.0
Pythonクックブック第2版,アレックス・マーテリ/アンナ・マーテリ・レベンスクロフト,オライリー・ジャパン,この本は、Ｐｙｔｈｏｎそのものを教えようとする本ではなく、特定のタスクに対応するための特定の概念やテクニックを（ときにトリックも）示したものである。収録したレシピは、初歩的で一般性の高いタスクから、高度、あるいは専門的なタスクまで、最上のテクニックを示している。あなたのＰｙｔｈｏｎレベル、もっと一般的に言えばプログラミングスキルが、どの程度のものであるにせよ、この本から何らかの価値あるものを得ていただけると信じるものである。-Ｐｙｔｈｏｎコミュニティの英知を集めた実践的なコードを収録。Ｐｙｔｈｏｎを使いこなすための決定版。,9784873112763,2007年06月,4620,単行本,001005017,5,4.0
逆引きPython標準ライブラリ,大津真/田中賢一郎,インプレス,文字列／データ操作、テキスト処理、ファイル操作、数値演算、ネットワークアクセス、ＧＵＩなど、使えるテクニック満載。,9784295003106,2018年02月,3300,単行本,001005017,1,3.0
Python計算機科学新教本,David Kopec/黒川 利明,オライリージャパン,昔からある定番アルゴリズムと、機械学習・深層学習アルゴリズムを学び本物の問題解決能力とプログラミングスキルを身につける！Ｐｙｔｈｏｎ３．７対応。型ヒント全面採用。,9784873118819,2019年06月26日頃,3300,単行本,001005005011/001005017,1,3.0
つくりながら学ぶ! Pythonによる因果分析,小川雄太郎,マイナビ出版,因果推論はなんらかの施策を実施した際に、その施策の効果を推定する手法です。因果探索はアンケート調査等で収集した各項目間の因果関係を明らかにする試みです。それぞれのテーマをさらに詳しく分析するための機械学習・ディープラーニング活用まで、実際に手を動かしながら習得できる内容です。,9784839973575,2020年07月01日頃,3168,単行本,001012002,0,0.0
機械学習スタートアップシリーズ　Pythonで学ぶ強化学習　［改訂第2版］　入門から実践まで,久保 隆宏,講談社,Ｐｙｔｈｏｎプログラミングとともに、ゼロからていねいに解説。コードが公開されているから、すぐ実践できる。実用でのネックとなる強化学習の弱点と、その克服方法まで紹介。,9784065172513,2019年09月22日頃,3080,単行本,001005017/001012002,1,4.0
Pythonで学ぶ統計的機械学習,金森敬文,オーム社,,9784274223051,2018年11月30日頃,3080,単行本,001005017,0,0.0
たのしいプログラミングPythonではじめよう！,ジェイソン・R．ブリッグス/磯蘭水,オーム社,,9784274069444,2014年02月,3080,単行本,001005017,3,5.0
